composite_file,cell_number,erythema,induration_papulation,excoriation,lichenification
composite_0001.jpg,1,1,2,0,2
composite_0001.jpg,2,2,2,1,0
composite_0001.jpg,3,2,2,2,1
composite_0001.jpg,4,0,1,0,1
composite_0001.jpg,5,3,1,2,0
composite_0001.jpg,6,0,0,0,0
composite_0001.jpg,7,1,2,0,1
composite_0001.jpg,8,2,2,1,0
composite_0001.jpg,9,1,0,0,0
composite_0002.jpg,1,2,1,3,0
composite_0002.jpg,2,1,0,1,1
composite_0002.jpg,3,0,3,0,1
composite_0002.jpg,4,2,1,1,1
composite_0002.jpg,5,1,1,1,2
composite_0002.jpg,6,2,2,0,0
composite_0002.jpg,7,2,1,0,0
composite_0002.jpg,8,0,0,0,0
composite_0002.jpg,9,1,1,0,1
composite_0003.jpg,1,0,1,0,2
composite_0003.jpg,2,2,0,0,0
composite_0003.jpg,3,2,1,2,1
composite_0003.jpg,4,2,1,1,1
composite_0003.jpg,5,2,2,3,1
composite_0003.jpg,6,2,2,2,1
composite_0003.jpg,7,0,2,0,2
composite_0003.jpg,8,3,1,3,0
composite_0003.jpg,9,1,0,0,0
composite_0004.jpg,1,1,2,0,1
composite_0004.jpg,2,0,2,0,2
composite_0004.jpg,3,1,2,1,1
composite_0004.jpg,4,1,0,0,0
composite_0004.jpg,5,2,1,3,0
composite_0004.jpg,6,2,0,1,0
composite_0004.jpg,7,2,1,0,0
composite_0004.jpg,8,0,0,0,0
composite_0004.jpg,9,2,1,0,0
composite_0005.jpg,1,1,0,0,0
composite_0005.jpg,2,2,1,1,0
composite_0005.jpg,3,1,1,0,0
composite_0005.jpg,4,2,1,2,1
composite_0005.jpg,5,2,2,1,1
composite_0005.jpg,6,2,1,2,1
composite_0005.jpg,7,0,1,0,2
composite_0005.jpg,8,1,0,0,0
composite_0005.jpg,9,2,1,0,0
composite_0006.jpg,1,3,2,2,1
composite_0006.jpg,2,1,0,2,0
composite_0006.jpg,3,0,1,0,1
composite_0006.jpg,4,0,1,0,1
composite_0006.jpg,5,2,1,1,0
composite_0006.jpg,6,2,1,1,0
composite_0006.jpg,7,0,0,0,1
composite_0006.jpg,8,3,1,0,0
composite_0006.jpg,9,2,1,1,0
composite_0007.jpg,1,1,3,2,1
composite_0007.jpg,2,2,2,2,0
composite_0007.jpg,3,0,2,0,2
composite_0007.jpg,4,0,3,0,1
composite_0007.jpg,5,1,1,1,1
composite_0007.jpg,6,2,2,0,0
composite_0007.jpg,7,0,0,0,0
composite_0007.jpg,8,2,1,0,1
composite_0007.jpg,9,1,1,0,0
composite_0008.jpg,1,1,1,0,1
composite_0008.jpg,2,2,0,0,0
composite_0008.jpg,3,2,1,0,0
composite_0008.jpg,4,1,1,0,1
composite_0008.jpg,5,2,0,0,0
composite_0008.jpg,6,2,1,0,1
composite_0008.jpg,7,2,1,3,0
composite_0008.jpg,8,2,1,0,1
composite_0008.jpg,9,0,0,0,0
composite_0009.jpg,1,2,2,0,0
composite_0009.jpg,2,2,1,0,0
composite_0009.jpg,3,1,2,1,1
composite_0009.jpg,4,1,1,2,0
composite_0009.jpg,5,2,1,0,0
composite_0009.jpg,6,2,0,0,0
composite_0009.jpg,7,2,1,2,0
composite_0009.jpg,8,1,1,0,2
composite_0009.jpg,9,1,2,1,2
composite_0010.jpg,1,2,1,1,0
composite_0010.jpg,2,2,1,0,1
composite_0010.jpg,3,1,1,1,1
composite_0010.jpg,4,1,1,0,1
composite_0010.jpg,5,2,1,2,0
composite_0010.jpg,6,2,1,0,0
composite_0010.jpg,7,1,2,1,1
composite_0010.jpg,8,1,2,2,0
composite_0010.jpg,9,1,1,0,1
composite_0011.jpg,1,3,2,1,1
composite_0011.jpg,2,0,0,0,0
composite_0011.jpg,3,1,0,0,0
composite_0011.jpg,4,1,1,0,1
composite_0011.jpg,5,2,0,0,0
composite_0011.jpg,6,2,2,1,0
composite_0011.jpg,7,2,1,0,1
composite_0011.jpg,8,1,1,1,1
composite_0011.jpg,9,1,2,1,1
composite_0012.jpg,1,2,2,3,1
composite_0012.jpg,2,0,3,0,2
composite_0012.jpg,3,2,1,0,1
composite_0012.jpg,4,2,2,2,1
composite_0012.jpg,5,2,1,0,1
composite_0012.jpg,6,1,1,0,0
composite_0012.jpg,7,1,3,1,2
composite_0012.jpg,8,0,1,0,1
composite_0012.jpg,9,3,0,0,0
composite_0013.jpg,1,2,2,1,2
composite_0013.jpg,2,2,1,2,0
composite_0013.jpg,3,1,1,0,1
composite_0013.jpg,4,1,2,3,1
composite_0013.jpg,5,1,1,0,0
composite_0013.jpg,6,2,2,0,1
